isla;municipio_nombre;censo
Lanzarote;Yaiza;5509859
Tenerife;Arona;4106902
La Palma;Tazacorte;3600380
Gran Canaria;Telde;2933320
Tenerife;Adeje;1519341
Tenerife;Santa Cruz de Tenerife;536276
Gran Canaria;San Bartolomé de Tirajana;505370
Tenerife;Arico;367305
Tenerife;Güímar;356263
Gran Canaria;Gáldar;315129
Gran Canaria;Las Palmas de Gran Canaria;276642
Tenerife;San Cristóbal de La Laguna;216438
Gran Canaria;Moya;180600
Tenerife;Tacoronte;175299
Gran Canaria;Ingenio;142757
Tenerife;La Orotava;129682
Tenerife;San Juan de la Rambla;125606
Tenerife;Granadilla de Abona;124550
Tenerife;Candelaria;103764
Gran Canaria;Agüimes;100251
Tenerife;Arafo;90631
Gran Canaria;Arucas;78421
Tenerife;Los Realejos;70488
Tenerife;Tegueste;69900
Gran Canaria;La Aldea de San Nicolás;56775
Fuerteventura;Puerto del Rosario;45368
Lanzarote;Arrecife;40625
La Palma;Barlovento;38418
Tenerife;Guía de Isora;37175
Lanzarote;Teguise;34089
Gran Canaria;Teror;26122
Fuerteventura;Tuineje;24195
Gran Canaria;Mogán;22157
Tenerife;Santa Úrsula;19222
Tenerife;Vilaflor de Chasna;16703
Lanzarote;Tinajo;14590
Tenerife;Fasnia;14141
Tenerife;Icod de los Vinos;14139
Gran Canaria;Vega de San Mateo;13203
Fuerteventura;La Oliva;12487
Fuerteventura;Betancuria;12204
Gran Canaria;Santa Lucía de Tirajana;11933
La Gomera;San Sebastián de La Gomera;11719
Fuerteventura;Pájara;9054
El Hierro;Valverde;7867
Gran Canaria;Agaete;7463
Lanzarote;Haría;7174
Tenerife;La Matanza de Acentejo;6742
Fuerteventura;Antigua;6609
La Palma;Puntallana;5479
Gran Canaria;Valsequillo de Gran Canaria;5020
Tenerife;Buenavista del Norte;4902
Gran Canaria;Santa Brígida;4693
Lanzarote;San Bartolomé;4109
La Palma;Villa de Mazo;3961
Gran Canaria;Tejeda;3841
La Palma;Garafía;3750
El Hierro;El Pinar de El Hierro;3721
La Palma;Los Llanos de Aridane;3370
El Hierro;Frontera;3337
Tenerife;El Rosario;3283
Gran Canaria;Valleseco;3157
La Palma;Puntagorda;3018
La Palma;El Paso;3002
Gran Canaria;Santa María de Guía de Gran Canaria;2806
Tenerife;San Miguel de Abona;2065
Tenerife;El Tanque;1850
La Palma;Breña Baja;1677
La Palma;Santa Cruz de La Palma;1655
Gran Canaria;Artenara;1362
Tenerife;El Sauzal;1127
La Gomera;Alajeró;1110
La Gomera;Vallehermoso;992
La Palma;Fuencaliente de La Palma;990
Tenerife;La Guancha;808
La Palma;Tijarafe;783
La Palma;Breña Alta;755
Lanzarote;Tías;727
Tenerife;Garachico;559
Tenerife;Los Silos;522
La Gomera;Valle Gran Rey;459
Gran Canaria;Firgas;425
La Gomera;Hermigua;302
Tenerife;La Victoria de Acentejo;274
Tenerife;Santiago del Teide;255
La Palma;San Andrés y Sauces;228
Tenerife;Puerto de la Cruz;161
La Gomera;Agulo;91
