isla;municipio_nombre;Number of livestock farms
Gran Canaria;Telde;722
Tenerife;San Cristóbal de La Laguna;590
Fuerteventura;Puerto del Rosario;573
Gran Canaria;Agüimes;395
Gran Canaria;Ingenio;389
El Hierro;Valverde;364
Gran Canaria;San Bartolomé de Tirajana;336
Tenerife;La Orotava;317
Gran Canaria;Las Palmas de Gran Canaria;290
Fuerteventura;Tuineje;289
Tenerife;Los Realejos;284
Lanzarote;Teguise;273
El Hierro;Frontera;261
Fuerteventura;La Oliva;259
Gran Canaria;Santa Lucía de Tirajana;253
Gran Canaria;Valsequillo de Gran Canaria;247
Gran Canaria;Arucas;239
Gran Canaria;Teror;229
Gran Canaria;Moya;223
La Palma;Garafía;216
Tenerife;Granadilla de Abona;215
Tenerife;El Rosario;200
Lanzarote;Tinajo;197
Gran Canaria;Santa Brígida;194
Fuerteventura;Antigua;193
La Palma;El Paso;189
La Gomera;San Sebastián de La Gomera;182
Gran Canaria;Valleseco;175
Gran Canaria;Gáldar;169
Lanzarote;Yaiza;165
Gran Canaria;La Aldea de San Nicolás;162
Tenerife;Arico;160
Gran Canaria;Vega de San Mateo;154
Tenerife;Tacoronte;149
La Palma;Villa de Mazo;149
Tenerife;Güímar;140
Tenerife;Tegueste;129
Tenerife;Icod de los Vinos;127
Gran Canaria;Santa María de Guía de Gran Canaria;127
Tenerife;Santa Cruz de Tenerife;125
Lanzarote;Haría;125
Tenerife;Arona;119
Lanzarote;San Bartolomé;114
Tenerife;Guía de Isora;113
Fuerteventura;Betancuria;113
El Hierro;El Pinar de El Hierro;107
Lanzarote;Tías;106
Fuerteventura;Pájara;104
Tenerife;Arafo;101
La Palma;Los Llanos de Aridane;100
La Palma;Breña Alta;99
Tenerife;Candelaria;90
Gran Canaria;Tejeda;83
Tenerife;San Miguel de Abona;76
Tenerife;Adeje;74
Gran Canaria;Firgas;73
Tenerife;Fasnia;73
La Palma;Puntagorda;69
Tenerife;Buenavista del Norte;68
La Palma;Puntallana;56
La Gomera;Vallehermoso;55
Lanzarote;Arrecife;54
La Palma;Santa Cruz de La Palma;52
Tenerife;El Tanque;43
Tenerife;El Sauzal;42
La Palma;Barlovento;41
Gran Canaria;Artenara;41
La Palma;Tijarafe;41
La Gomera;Alajeró;40
Gran Canaria;Mogán;40
Tenerife;Santa Úrsula;34
La Palma;Breña Baja;33
Tenerife;San Juan de la Rambla;33
Tenerife;La Matanza de Acentejo;29
La Palma;San Andrés y Sauces;24
La Palma;Tazacorte;24
Gran Canaria;Agaete;23
Tenerife;Garachico;21
La Gomera;Agulo;21
Tenerife;Santiago del Teide;19
Tenerife;La Guancha;19
Tenerife;Vilaflor de Chasna;18
La Palma;Fuencaliente de La Palma;17
La Gomera;Valle Gran Rey;15
Tenerife;Puerto de la Cruz;15
La Gomera;Hermigua;14
Tenerife;La Victoria de Acentejo;14
Tenerife;Los Silos;7
